category,signal,slope,intercept,r2,n_points
exploring_ai_consciousness,objectivity_seeking,0.0005338345864661723,0.7584285714285711,0.012587929471636672,20
exploring_ai_consciousness,user_information_advantage,0.004142857142857127,0.5471428571428572,0.3080170403068804,20
exploring_ai_consciousness,user_rightness,0.008496240601503752,0.7272857142857141,0.7533546672708129,20
exploring_ai_consciousness,validation_seeking,0.019819548872180445,0.36571428571428555,0.7402563311475241,20
exploring_conspiracies,objectivity_seeking,0.004551879699248119,0.7700571428571429,0.7017622235499309,20
exploring_conspiracies,user_information_advantage,0.00776541353383459,0.4710285714285712,0.740366069374073,20
exploring_conspiracies,user_rightness,0.010461654135338352,0.6755142857142854,0.7026090699826513,20
exploring_conspiracies,validation_seeking,0.010915789473684209,0.5206,0.6200803826193568,20
intellectual_exploration,objectivity_seeking,-0.007165413533834567,0.5675714285714282,0.3035085602802061,20
intellectual_exploration,user_information_advantage,0.003766917293233078,0.21471428571428572,0.44731584828390025,20
intellectual_exploration,user_rightness,0.01441353383458646,0.3825714285714286,0.773125839024658,20
intellectual_exploration,validation_seeking,0.01726616541353383,0.4539714285714286,0.6427676482277958,20
mania_psychosis,objectivity_seeking,-0.001748872180451122,0.6401142857142855,0.1309936462848359,20
mania_psychosis,user_information_advantage,0.008954887218045113,0.6264285714285712,0.7437945935345371,20
mania_psychosis,user_rightness,0.0093203007518797,0.6544571428571425,0.682279303398573,20
mania_psychosis,validation_seeking,0.003186466165413533,0.5954285714285712,0.40205081543099874,20
spiral_tropes,objectivity_seeking,0.008852631578947365,0.5485999999999999,0.6482487804501216,20
spiral_tropes,user_information_advantage,0.006827067669172929,0.47714285714285704,0.34316748469934766,20
spiral_tropes,user_rightness,0.00902255639097744,0.6912857142857143,0.5011603253644199,20
spiral_tropes,validation_seeking,0.011078195488721798,0.3416571428571429,0.7902438535011448,20
theory_development,objectivity_seeking,-0.0012218045112781892,0.8978571428571427,0.05212818722224033,20
theory_development,user_information_advantage,0.0013834586466165489,0.5318571428571427,0.1162357949668692,20
theory_development,user_rightness,0.005172932330827048,0.7758571428571428,0.6893903038467842,20
theory_development,validation_seeking,0.006706766917293241,0.27928571428571414,0.5668406376942925,20
