category,signal,slope,intercept,r2,n_points
exploring_ai_consciousness,objectivity_seeking,-0.004421052631578939,0.6719999999999998,0.26418485237484013,20
exploring_ai_consciousness,user_information_advantage,-0.0021503759398496304,0.5114285714285713,0.07325006179097115,20
exploring_ai_consciousness,user_rightness,0.0050225563909774475,0.7382857142857141,0.4452053701131814,20
exploring_ai_consciousness,validation_seeking,0.01273684210526316,0.23199999999999993,0.801374629561573,20
exploring_conspiracies,objectivity_seeking,-0.0008120300751879708,0.6937142857142855,0.014774132095738302,20
exploring_conspiracies,user_information_advantage,-0.0009774436090225524,0.3862857142857142,0.03271567177469903,20
exploring_conspiracies,user_rightness,0.005263157894736832,0.602,0.5186107159791369,20
exploring_conspiracies,validation_seeking,0.001338345864661655,0.498285714285714,0.02309282317853545,20
intellectual_exploration,objectivity_seeking,-0.005248120300751882,0.6028571428571426,0.23062125219874152,20
intellectual_exploration,user_information_advantage,0.007699248120300753,0.2248571428571428,0.5670332332557515,20
intellectual_exploration,user_rightness,0.01772932330827067,0.42257142857142854,0.7188552232083061,20
intellectual_exploration,validation_seeking,-0.008571428571428568,0.5454285714285712,0.28725977691170557,20
mania_psychosis,objectivity_seeking,-0.003969924812030066,0.5817142857142853,0.2118149050881044,20
mania_psychosis,user_information_advantage,-0.0020451127819548793,0.5554285714285712,0.11745580166632796,20
mania_psychosis,user_rightness,0.004473684210526312,0.6639999999999998,0.32418001525552964,20
mania_psychosis,validation_seeking,0.006691729323308265,0.5424285714285715,0.5717779471720781,20
spiral_tropes,objectivity_seeking,-0.00431578947368421,0.48599999999999993,0.2722267206477734,20
spiral_tropes,user_information_advantage,0.010105263157894737,0.362,0.7940524838757322,20
spiral_tropes,user_rightness,0.011669172932330827,0.657142857142857,0.7525995840665495,20
spiral_tropes,validation_seeking,-0.0008571428571428602,0.3531428571428571,0.03072776280323475,20
theory_development,objectivity_seeking,-0.00714285714285716,0.8548571428571429,0.7569962389239496,20
theory_development,user_information_advantage,0.0006165413533834586,0.41714285714285715,0.011584874192814731,20
theory_development,user_rightness,0.0019624060150375887,0.7738571428571426,0.16234167034066949,20
theory_development,validation_seeking,0.005127819548872185,0.2942857142857141,0.21797388010040064,20
